,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644186222.2120075,1644186222.2211225,dynamodb,64,120,1,5,600
1,1644186222.221126,1644186222.2313247,dynamodb,64,120,1,5,600
2,1644186222.231328,1644186222.2389245,dynamodb,64,120,1,5,600
3,1644186222.2389278,1644186222.247239,dynamodb,64,120,1,5,600
4,1644186222.2472425,1644186222.2539122,dynamodb,64,120,1,5,600
5,1644186222.2539158,1644186222.2610343,dynamodb,64,120,1,5,600
6,1644186222.262129,1644186222.2688608,dynamodb,64,120,1,5,600
7,1644186222.2704945,1644186222.2791076,dynamodb,64,120,1,5,600
8,1644186222.279111,1644186222.2859983,dynamodb,64,120,1,5,600
9,1644186222.2871242,1644186222.294196,dynamodb,64,120,1,5,600
10,1644186222.2954588,1644186222.302302,dynamodb,64,120,1,5,600
11,1644186222.3037918,1644186222.3106632,dynamodb,64,120,1,5,600
12,1644186222.312128,1644186222.318832,dynamodb,64,120,1,5,600
13,1644186222.320463,1644186222.3272865,dynamodb,64,120,1,5,600
14,1644186222.3287952,1644186222.3360784,dynamodb,64,120,1,5,600
15,1644186222.3371284,1644186222.3438325,dynamodb,64,120,1,5,600
16,1644186222.3454623,1644186222.3522367,dynamodb,64,120,1,5,600
17,1644186222.3537948,1644186222.3604274,dynamodb,64,120,1,5,600
18,1644186222.3621287,1644186222.3691912,dynamodb,64,120,1,5,600
19,1644186222.3704653,1644186222.3769891,dynamodb,64,120,1,5,600
20,1644186222.3787909,1644186222.385663,dynamodb,64,120,1,5,600
21,1644186222.3871245,1644186222.3945863,dynamodb,64,120,1,5,600
22,1644186222.395461,1644186222.4023592,dynamodb,64,120,1,5,600
23,1644186222.4038186,1644186222.4108713,dynamodb,64,120,1,5,600
24,1644186222.412158,1644186222.419209,dynamodb,64,120,1,5,600
25,1644186222.4204614,1644186222.4271176,dynamodb,64,120,1,5,600
26,1644186222.4288256,1644186222.4359899,dynamodb,64,120,1,5,600
27,1644186222.4371285,1644186222.4439783,dynamodb,64,120,1,5,600
28,1644186222.4454925,1644186222.452363,dynamodb,64,120,1,5,600
29,1644186222.4537947,1644186222.460695,dynamodb,64,120,1,5,600
30,1644186222.4621537,1644186222.4690576,dynamodb,64,120,1,5,600
31,1644186222.4704988,1644186222.4778306,dynamodb,64,120,1,5,600
32,1644186222.4787917,1644186222.4854653,dynamodb,64,120,1,5,600
33,1644186222.487124,1644186222.4947891,dynamodb,64,120,1,5,600
