,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644189081.5267472,1644189081.5392587,lock,64,120,5,10,600
1,1644189081.539262,1644189081.5491428,lock,64,120,5,10,600
2,1644189081.5491462,1644189081.5587454,lock,64,120,5,10,600
3,1644189081.558749,1644189081.5684307,lock,64,120,5,10,600
4,1644189081.568434,1644189081.5787032,lock,64,120,5,10,600
5,1644189081.578707,1644189081.5888276,lock,64,120,5,10,600
6,1644189081.588831,1644189081.598729,lock,64,120,5,10,600
7,1644189081.598733,1644189081.6089122,lock,64,120,5,10,600
8,1644189081.6089156,1644189081.6183467,lock,64,120,5,10,600
9,1644189081.61835,1644189081.6285543,lock,64,120,5,10,600
10,1644189081.6285586,1644189081.6393354,lock,64,120,5,10,600
11,1644189081.6393387,1644189081.649407,lock,64,120,5,10,600
12,1644189081.649411,1644189081.660564,lock,64,120,5,10,600
13,1644189081.6605685,1644189081.6718338,lock,64,120,5,10,600
14,1644189081.671837,1644189081.6818476,lock,64,120,5,10,600
15,1644189081.681851,1644189081.6918902,lock,64,120,5,10,600
16,1644189081.6918938,1644189081.7018106,lock,64,120,5,10,600
17,1644189081.7018154,1644189081.7127476,lock,64,120,5,10,600
18,1644189081.712751,1644189081.7225063,lock,64,120,5,10,600
19,1644189081.7225108,1644189081.7323325,lock,64,120,5,10,600
20,1644189081.732336,1644189081.7425036,lock,64,120,5,10,600
21,1644189081.742508,1644189081.7533934,lock,64,120,5,10,600
22,1644189081.753397,1644189081.763143,lock,64,120,5,10,600
23,1644189081.7631466,1644189081.7726789,lock,64,120,5,10,600
24,1644189081.7726822,1644189081.7822542,lock,64,120,5,10,600
25,1644189081.7822576,1644189081.7922723,lock,64,120,5,10,600
26,1644189081.792276,1644189081.8021884,lock,64,120,5,10,600
27,1644189081.802192,1644189081.812989,lock,64,120,5,10,600
28,1644189081.8129926,1644189081.8229175,lock,64,120,5,10,600
29,1644189081.8229208,1644189081.8327713,lock,64,120,5,10,600
30,1644189081.8327746,1644189081.8425593,lock,64,120,5,10,600
31,1644189081.8425622,1644189081.8521602,lock,64,120,5,10,600
32,1644189081.8521633,1644189081.8621657,lock,64,120,5,10,600
33,1644189081.862169,1644189081.8729632,lock,64,120,5,10,600
34,1644189081.8729675,1644189081.8828878,lock,64,120,5,10,600
35,1644189081.8828912,1644189081.892735,lock,64,120,5,10,600
36,1644189081.8927383,1644189081.902314,lock,64,120,5,10,600
37,1644189081.9023173,1644189081.9125738,lock,64,120,5,10,600
38,1644189081.912577,1644189081.9225416,lock,64,120,5,10,600
