,time,idx,queue,memory,size,type
0,1643402857.1777043,0,sqs_fifo,128,64,send
1,1643402857.190251,1,sqs_fifo,128,64,send
2,1643402857.2016683,2,sqs_fifo,128,64,send
3,1643402857.2145376,3,sqs_fifo,128,64,send
4,1643402857.225912,4,sqs_fifo,128,64,send
5,1643402857.234951,5,sqs_fifo,128,64,send
6,1643402857.2462935,6,sqs_fifo,128,64,send
7,1643402857.261864,7,sqs_fifo,128,64,send
8,1643402857.2730646,8,sqs_fifo,128,64,send
9,1643402857.2905536,9,sqs_fifo,128,64,send
10,1643402857.3039806,10,sqs_fifo,128,64,send
11,1643402857.3151748,11,sqs_fifo,128,64,send
12,1643402857.3271604,12,sqs_fifo,128,64,send
13,1643402857.3412483,13,sqs_fifo,128,64,send
14,1643402857.3523111,14,sqs_fifo,128,64,send
15,1643402857.3644836,15,sqs_fifo,128,64,send
16,1643402857.3752456,16,sqs_fifo,128,64,send
17,1643402857.3877847,17,sqs_fifo,128,64,send
18,1643402857.4008808,18,sqs_fifo,128,64,send
19,1643402857.411594,19,sqs_fifo,128,64,send
20,1643402857.423014,20,sqs_fifo,128,64,send
21,1643402857.4343936,21,sqs_fifo,128,64,send
22,1643402857.4434826,22,sqs_fifo,128,64,send
23,1643402857.4532905,23,sqs_fifo,128,64,send
24,1643402857.4642177,24,sqs_fifo,128,64,send
25,1643402857.4752538,25,sqs_fifo,128,64,send
26,1643402857.4881032,26,sqs_fifo,128,64,send
27,1643402857.4996939,27,sqs_fifo,128,64,send
28,1643402857.514675,28,sqs_fifo,128,64,send
29,1643402857.5385845,29,sqs_fifo,128,64,send
30,1643402857.5519128,30,sqs_fifo,128,64,send
31,1643402857.568362,31,sqs_fifo,128,64,send
32,1643402857.5826898,32,sqs_fifo,128,64,send
33,1643402857.5929282,33,sqs_fifo,128,64,send
34,1643402857.6071486,34,sqs_fifo,128,64,send
35,1643402857.6474588,35,sqs_fifo,128,64,send
36,1643402857.6620514,36,sqs_fifo,128,64,send
37,1643402857.673812,37,sqs_fifo,128,64,send
38,1643402857.6875746,38,sqs_fifo,128,64,send
39,1643402857.7011952,39,sqs_fifo,128,64,send
40,1643402857.7152069,40,sqs_fifo,128,64,send
41,1643402857.7332015,41,sqs_fifo,128,64,send
42,1643402857.7435017,42,sqs_fifo,128,64,send
43,1643402857.7559726,43,sqs_fifo,128,64,send
44,1643402857.766858,44,sqs_fifo,128,64,send
45,1643402857.780101,45,sqs_fifo,128,64,send
46,1643402857.7930968,46,sqs_fifo,128,64,send
47,1643402857.80596,47,sqs_fifo,128,64,send
48,1643402857.8222957,48,sqs_fifo,128,64,send
49,1643402857.8347144,49,sqs_fifo,128,64,send
50,1643402857.8455276,50,sqs_fifo,128,64,send
51,1643402857.8574471,51,sqs_fifo,128,64,send
52,1643402857.8694246,52,sqs_fifo,128,64,send
53,1643402857.8806338,53,sqs_fifo,128,64,send
54,1643402857.893198,54,sqs_fifo,128,64,send
55,1643402857.9045148,55,sqs_fifo,128,64,send
56,1643402857.917032,56,sqs_fifo,128,64,send
57,1643402857.9312677,57,sqs_fifo,128,64,send
58,1643402857.9425292,58,sqs_fifo,128,64,send
59,1643402857.9566555,59,sqs_fifo,128,64,send
60,1643402857.9701006,60,sqs_fifo,128,64,send
61,1643402857.9844515,61,sqs_fifo,128,64,send
62,1643402857.9957302,62,sqs_fifo,128,64,send
63,1643402858.010088,63,sqs_fifo,128,64,send
64,1643402858.0249078,64,sqs_fifo,128,64,send
65,1643402858.0401564,65,sqs_fifo,128,64,send
66,1643402858.052497,66,sqs_fifo,128,64,send
67,1643402858.0633528,67,sqs_fifo,128,64,send
68,1643402858.0769656,68,sqs_fifo,128,64,send
69,1643402858.0881705,69,sqs_fifo,128,64,send
70,1643402858.1012087,70,sqs_fifo,128,64,send
71,1643402858.1132538,71,sqs_fifo,128,64,send
72,1643402858.1240668,72,sqs_fifo,128,64,send
73,1643402858.1352682,73,sqs_fifo,128,64,send
74,1643402858.1499677,74,sqs_fifo,128,64,send
75,1643402858.1626856,75,sqs_fifo,128,64,send
76,1643402858.173753,76,sqs_fifo,128,64,send
77,1643402858.1875765,77,sqs_fifo,128,64,send
78,1643402858.1989307,78,sqs_fifo,128,64,send
79,1643402858.239083,79,sqs_fifo,128,64,send
80,1643402858.2497754,80,sqs_fifo,128,64,send
81,1643402858.2633157,81,sqs_fifo,128,64,send
82,1643402858.276901,82,sqs_fifo,128,64,send
83,1643402858.293493,83,sqs_fifo,128,64,send
84,1643402858.306029,84,sqs_fifo,128,64,send
85,1643402858.323776,85,sqs_fifo,128,64,send
86,1643402858.3404365,86,sqs_fifo,128,64,send
87,1643402858.3554096,87,sqs_fifo,128,64,send
88,1643402858.3772445,88,sqs_fifo,128,64,send
89,1643402858.3913944,89,sqs_fifo,128,64,send
90,1643402858.4053776,90,sqs_fifo,128,64,send
91,1643402858.4207482,91,sqs_fifo,128,64,send
92,1643402858.436973,92,sqs_fifo,128,64,send
93,1643402858.4505775,93,sqs_fifo,128,64,send
94,1643402858.4652526,94,sqs_fifo,128,64,send
95,1643402858.4819834,95,sqs_fifo,128,64,send
96,1643402858.4970791,96,sqs_fifo,128,64,send
97,1643402858.5103493,97,sqs_fifo,128,64,send
98,1643402858.5249023,98,sqs_fifo,128,64,send
99,1643402858.5367296,99,sqs_fifo,128,64,send
100,1643402858.5490396,100,sqs_fifo,128,64,send
101,1643402858.5601614,101,sqs_fifo,128,64,send
102,1643402858.5768638,102,sqs_fifo,128,64,send
103,1643402858.5916317,103,sqs_fifo,128,64,send
104,1643402858.609688,104,sqs_fifo,128,64,send
105,1643402858.623819,105,sqs_fifo,128,64,send
106,1643402858.6406484,106,sqs_fifo,128,64,send
107,1643402858.6522796,107,sqs_fifo,128,64,send
108,1643402858.6671305,108,sqs_fifo,128,64,send
109,1643402858.6811118,109,sqs_fifo,128,64,send
110,1643402858.6948485,110,sqs_fifo,128,64,send
