Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": 1, "idx": "11500"}'
b'{"is_cold": false, "events": 3, "idx": "11501"}'
b'{"is_cold": false, "events": -1, "idx": "11502"}'
b'{"is_cold": false, "events": -1, "idx": "11503"}'
b'{"is_cold": false, "events": 3, "idx": "11504"}'
b'{"is_cold": false, "events": -1, "idx": "11505"}'
b'{"is_cold": false, "events": -1, "idx": "11506"}'
b'{"is_cold": false, "events": 4, "idx": "11507"}'
b'{"is_cold": false, "events": -1, "idx": "11508"}'
b'{"is_cold": false, "events": -1, "idx": "11509"}'
b'{"is_cold": false, "events": -1, "idx": "11510"}'
b'{"is_cold": false, "events": 4, "idx": "11511"}'
b'{"is_cold": false, "events": -1, "idx": "11512"}'
b'{"is_cold": false, "events": -1, "idx": "11513"}'
b'{"is_cold": false, "events": -1, "idx": "11514"}'
b'{"is_cold": false, "events": 3, "idx": "11515"}'
b'{"is_cold": false, "events": -1, "idx": "11516"}'
b'{"is_cold": false, "events": -1, "idx": "11517"}'
b'{"is_cold": false, "events": 4, "idx": "11518"}'
b'{"is_cold": false, "events": -1, "idx": "11519"}'
b'{"is_cold": false, "events": -1, "idx": "11520"}'
b'{"is_cold": false, "events": -1, "idx": "11521"}'
b'{"is_cold": false, "events": 2, "idx": "11522"}'
b'{"is_cold": false, "events": -1, "idx": "11523"}'
b'{"is_cold": false, "events": 4, "idx": "11524"}'
b'{"is_cold": false, "events": -1, "idx": "11525"}'
b'{"is_cold": false, "events": -1, "idx": "11526"}'
b'{"is_cold": false, "events": -1, "idx": "11527"}'
b'{"is_cold": false, "events": 4, "idx": "11528"}'
b'{"is_cold": false, "events": -1, "idx": "11529"}'
b'{"is_cold": false, "events": -1, "idx": "11530"}'
b'{"is_cold": false, "events": -1, "idx": "11531"}'
b'{"is_cold": false, "events": 3, "idx": "11532"}'
b'{"is_cold": false, "events": -1, "idx": "11533"}'
b'{"is_cold": false, "events": -1, "idx": "11534"}'
b'{"is_cold": false, "events": 3, "idx": "11535"}'
b'{"is_cold": false, "events": -1, "idx": "11536"}'
b'{"is_cold": false, "events": -1, "idx": "11537"}'
b'{"is_cold": false, "events": 4, "idx": "11538"}'
b'{"is_cold": false, "events": -1, "idx": "11539"}'
b'{"is_cold": false, "events": -1, "idx": "11540"}'
b'{"is_cold": false, "events": -1, "idx": "11541"}'
b'{"is_cold": false, "events": 4, "idx": "11542"}'
b'{"is_cold": false, "events": -1, "idx": "11543"}'
b'{"is_cold": false, "events": -1, "idx": "11544"}'
b'{"is_cold": false, "events": -1, "idx": "11545"}'
b'{"is_cold": false, "events": 7, "idx": "11546"}'
b'{"is_cold": false, "events": -1, "idx": "11547"}'
b'{"is_cold": false, "events": -1, "idx": "11548"}'
b'{"is_cold": false, "events": -1, "idx": "11549"}'
b'{"is_cold": false, "events": -1, "idx": "11550"}'
b'{"is_cold": false, "events": -1, "idx": "11551"}'
b'{"is_cold": false, "events": -1, "idx": "11552"}'
b'{"is_cold": false, "events": 4, "idx": "11553"}'
b'{"is_cold": false, "events": -1, "idx": "11554"}'
b'{"is_cold": false, "events": -1, "idx": "11555"}'
b'{"is_cold": false, "events": -1, "idx": "11556"}'
b'{"is_cold": false, "events": 5, "idx": "11557"}'
b'{"is_cold": false, "events": -1, "idx": "11558"}'
b'{"is_cold": false, "events": -1, "idx": "11559"}'
b'{"is_cold": false, "events": -1, "idx": "11560"}'
b'{"is_cold": false, "events": -1, "idx": "11561"}'
b'{"is_cold": false, "events": 6, "idx": "11562"}'
b'{"is_cold": false, "events": -1, "idx": "11563"}'
b'{"is_cold": false, "events": -1, "idx": "11564"}'
b'{"is_cold": false, "events": -1, "idx": "11565"}'
b'{"is_cold": false, "events": -1, "idx": "11566"}'
b'{"is_cold": false, "events": -1, "idx": "11567"}'
b'{"is_cold": false, "events": 4, "idx": "11568"}'
b'{"is_cold": false, "events": -1, "idx": "11569"}'
b'{"is_cold": false, "events": -1, "idx": "11570"}'
b'{"is_cold": false, "events": -1, "idx": "11571"}'
b'{"is_cold": false, "events": 4, "idx": "11572"}'
b'{"is_cold": false, "events": -1, "idx": "11573"}'
