,data,native_data,op,size
0,1345,0.0,read,4
1,1588,0.0,read,4
2,1262,0.0,read,4
3,1291,0.0,read,4
4,1324,0.0,read,4
5,1191,0.0,read,4
6,1200,0.0,read,4
7,1362,0.0,read,4
8,1546,0.0,read,4
9,1381,0.0,read,4
10,1292,0.0,read,4
11,1230,0.0,read,4
12,1470,0.0,read,4
13,1252,0.0,read,4
14,1364,0.0,read,4
15,1354,0.0,read,4
16,1226,0.0,read,4
17,1309,0.0,read,4
18,1319,0.0,read,4
19,1241,0.0,read,4
20,1425,0.0,read,4
21,1327,0.0,read,4
22,1169,0.0,read,4
23,1169,0.0,read,4
24,1275,0.0,read,4
25,1264,0.0,read,4
26,1215,0.0,read,4
27,1289,0.0,read,4
28,1409,0.0,read,4
29,1547,0.0,read,4
30,1521,0.0,read,4
31,1386,0.0,read,4
32,1429,0.0,read,4
33,1250,0.0,read,4
34,1191,0.0,read,4
35,1430,0.0,read,4
36,1324,0.0,read,4
37,1251,0.0,read,4
38,1301,0.0,read,4
39,1328,0.0,read,4
40,1514,0.0,read,4
41,1449,0.0,read,4
42,1117,0.0,read,4
43,1677,0.0,read,4
44,2021,0.0,read,4
45,1444,0.0,read,4
46,1383,0.0,read,4
47,1406,0.0,read,4
48,1544,0.0,read,4
49,1504,0.0,read,4
50,1484,0.0,read,4
51,1689,0.0,read,4
52,1424,0.0,read,4
53,1450,0.0,read,4
54,1395,0.0,read,4
55,2999,0.0,read,4
56,1380,0.0,read,4
57,1234,0.0,read,4
58,1416,0.0,read,4
59,1473,0.0,read,4
60,1330,0.0,read,4
61,1448,0.0,read,4
62,1429,0.0,read,4
63,1391,0.0,read,4
64,1352,0.0,read,4
65,1278,0.0,read,4
66,1243,0.0,read,4
67,1109,0.0,read,4
68,1275,0.0,read,4
69,1210,0.0,read,4
70,1307,0.0,read,4
71,1469,0.0,read,4
72,1316,0.0,read,4
73,1488,0.0,read,4
74,1349,0.0,read,4
75,1274,0.0,read,4
76,1436,0.0,read,4
77,1497,0.0,read,4
78,1269,0.0,read,4
79,1226,0.0,read,4
80,1135,0.0,read,4
81,1388,0.0,read,4
82,1494,0.0,read,4
83,1232,0.0,read,4
84,1518,0.0,read,4
85,1649,0.0,read,4
86,1180,0.0,read,4
87,1103,0.0,read,4
88,1351,0.0,read,4
89,1694,0.0,read,4
90,1540,0.0,read,4
91,1403,0.0,read,4
92,1425,0.0,read,4
93,1385,0.0,read,4
94,1412,0.0,read,4
95,1220,0.0,read,4
96,1489,0.0,read,4
97,1645,0.0,read,4
98,1336,0.0,read,4
99,1260,0.0,read,4
100,1183,0.0,read,4
101,1434,0.0,read,4
102,4780,0.0,read,4
103,4340,0.0,read,4
104,1334,0.0,read,4
105,1337,0.0,read,4
106,1662,0.0,read,4
107,1574,0.0,read,4
108,5160,0.0,read,4
109,1514,0.0,read,4
110,1327,0.0,read,4
111,1319,0.0,read,4
112,1386,0.0,read,4
113,1142,0.0,read,4
114,1199,0.0,read,4
115,1285,0.0,read,4
116,1155,0.0,read,4
117,1107,0.0,read,4
118,1109,0.0,read,4
119,1110,0.0,read,4
120,1183,0.0,read,4
121,1088,0.0,read,4
122,1107,0.0,read,4
123,1041,0.0,read,4
124,1081,0.0,read,4
125,1085,0.0,read,4
126,1049,0.0,read,4
127,1014,0.0,read,4
128,856,0.0,read,4
129,1426,0.0,read,4
130,1507,0.0,read,4
131,1789,0.0,read,4
132,1511,0.0,read,4
133,1144,0.0,read,4
134,1295,0.0,read,4
135,1371,0.0,read,4
136,1192,0.0,read,4
137,1274,0.0,read,4
138,1299,0.0,read,4
139,1480,0.0,read,4
140,1371,0.0,read,4
141,1150,0.0,read,4
142,1471,0.0,read,4
143,1240,0.0,read,4
144,1229,0.0,read,4
145,1293,0.0,read,4
146,1275,0.0,read,4
147,1399,0.0,read,4
148,1240,0.0,read,4
149,1184,0.0,read,4
150,1475,0.0,read,4
151,1410,0.0,read,4
152,1377,0.0,read,4
153,1214,0.0,read,4
154,1116,0.0,read,4
155,1003,0.0,read,4
156,1225,0.0,read,4
157,1258,0.0,read,4
158,1333,0.0,read,4
159,1476,0.0,read,4
160,1426,0.0,read,4
161,1260,0.0,read,4
162,1250,0.0,read,4
163,1389,0.0,read,4
164,1213,0.0,read,4
165,1131,0.0,read,4
166,1206,0.0,read,4
167,1218,0.0,read,4
168,1066,0.0,read,4
169,1382,0.0,read,4
170,1303,0.0,read,4
171,1111,0.0,read,4
172,1439,0.0,read,4
173,1204,0.0,read,4
174,1235,0.0,read,4
175,1379,0.0,read,4
176,1285,0.0,read,4
177,1249,0.0,read,4
178,1294,0.0,read,4
179,1335,0.0,read,4
180,1828,0.0,read,4
181,1321,0.0,read,4
182,1222,0.0,read,4
183,1290,0.0,read,4
184,2889,0.0,read,4
185,1312,0.0,read,4
186,1191,0.0,read,4
187,1146,0.0,read,4
188,1195,0.0,read,4
189,1324,0.0,read,4
190,1212,0.0,read,4
191,1341,0.0,read,4
192,1215,0.0,read,4
193,1380,0.0,read,4
194,1284,0.0,read,4
195,1522,0.0,read,4
196,1438,0.0,read,4
197,1245,0.0,read,4
198,1462,0.0,read,4
199,1146,0.0,read,4
200,1209,0.0,read,4
201,1288,0.0,read,4
202,1533,0.0,read,4
203,1364,0.0,read,4
204,1390,0.0,read,4
205,1337,0.0,read,4
206,1101,0.0,read,4
207,1300,0.0,read,4
208,1274,0.0,read,4
209,1330,0.0,read,4
210,1320,0.0,read,4
211,1454,0.0,read,4
212,1209,0.0,read,4
213,1429,0.0,read,4
214,1302,0.0,read,4
215,1165,0.0,read,4
216,1194,0.0,read,4
217,1153,0.0,read,4
218,1028,0.0,read,4
219,1333,0.0,read,4
220,1791,0.0,read,4
221,1480,0.0,read,4
222,1288,0.0,read,4
223,1318,0.0,read,4
224,1269,0.0,read,4
225,1258,0.0,read,4
226,1197,0.0,read,4
227,1191,0.0,read,4
228,1086,0.0,read,4
229,1153,0.0,read,4
230,1220,0.0,read,4
231,1540,0.0,read,4
232,1178,0.0,read,4
233,1394,0.0,read,4
234,1366,0.0,read,4
235,1360,0.0,read,4
236,1354,0.0,read,4
237,1438,0.0,read,4
238,1373,0.0,read,4
239,1168,0.0,read,4
240,1084,0.0,read,4
241,1131,0.0,read,4
242,1373,0.0,read,4
243,1247,0.0,read,4
244,1024,0.0,read,4
245,1435,0.0,read,4
246,1430,0.0,read,4
247,1168,0.0,read,4
248,1455,0.0,read,4
249,1322,0.0,read,4
250,1098,0.0,read,4
251,1404,0.0,read,4
252,1403,0.0,read,4
253,1369,0.0,read,4
254,1407,0.0,read,4
255,1593,0.0,read,4
256,1631,0.0,read,4
257,1474,0.0,read,4
258,2350,0.0,read,4
259,1392,0.0,read,4
260,1234,0.0,read,4
261,1296,0.0,read,4
262,1105,0.0,read,4
263,1167,0.0,read,4
264,1192,0.0,read,4
265,1112,0.0,read,4
266,1180,0.0,read,4
267,1060,0.0,read,4
268,1257,0.0,read,4
269,1157,0.0,read,4
270,1207,0.0,read,4
271,1013,0.0,read,4
272,1212,0.0,read,4
273,1097,0.0,read,4
274,1057,0.0,read,4
275,1133,0.0,read,4
276,1000,0.0,read,4
277,1330,0.0,read,4
278,1269,0.0,read,4
279,1148,0.0,read,4
280,1486,0.0,read,4
281,1780,0.0,read,4
282,1086,0.0,read,4
283,1199,0.0,read,4
284,1309,0.0,read,4
285,1161,0.0,read,4
286,1114,0.0,read,4
287,1140,0.0,read,4
288,1226,0.0,read,4
289,1127,0.0,read,4
290,1117,0.0,read,4
291,1232,0.0,read,4
292,1082,0.0,read,4
293,5931,0.0,read,4
294,1240,0.0,read,4
295,1172,0.0,read,4
296,988,0.0,read,4
297,989,0.0,read,4
298,935,0.0,read,4
299,1068,0.0,read,4
300,962,0.0,read,4
301,1071,0.0,read,4
302,982,0.0,read,4
303,1090,0.0,read,4
304,1142,0.0,read,4
305,1409,0.0,read,4
306,1263,0.0,read,4
307,1073,0.0,read,4
308,1145,0.0,read,4
309,1111,0.0,read,4
310,1261,0.0,read,4
311,1154,0.0,read,4
312,1133,0.0,read,4
313,1644,0.0,read,4
314,1202,0.0,read,4
315,1555,0.0,read,4
316,1264,0.0,read,4
317,1068,0.0,read,4
318,1234,0.0,read,4
319,1646,0.0,read,4
320,1258,0.0,read,4
321,1180,0.0,read,4
322,1270,0.0,read,4
323,1294,0.0,read,4
324,1208,0.0,read,4
325,1117,0.0,read,4
326,1180,0.0,read,4
327,1105,0.0,read,4
328,1504,0.0,read,4
329,1559,0.0,read,4
330,1302,0.0,read,4
331,1050,0.0,read,4
332,1056,0.0,read,4
333,1267,0.0,read,4
334,1168,0.0,read,4
335,1096,0.0,read,4
336,1255,0.0,read,4
337,1279,0.0,read,4
338,1227,0.0,read,4
339,1198,0.0,read,4
340,1220,0.0,read,4
341,1057,0.0,read,4
342,1118,0.0,read,4
343,1094,0.0,read,4
344,1130,0.0,read,4
345,1089,0.0,read,4
346,1171,0.0,read,4
347,1395,0.0,read,4
348,1016,0.0,read,4
349,1005,0.0,read,4
350,1009,0.0,read,4
351,1605,0.0,read,4
352,1228,0.0,read,4
353,1106,0.0,read,4
354,1098,0.0,read,4
355,1340,0.0,read,4
356,1085,0.0,read,4
357,1379,0.0,read,4
358,1254,0.0,read,4
359,1272,0.0,read,4
360,1420,0.0,read,4
361,1064,0.0,read,4
362,1218,0.0,read,4
363,1617,0.0,read,4
364,1341,0.0,read,4
365,1119,0.0,read,4
366,1530,0.0,read,4
367,1299,0.0,read,4
368,1204,0.0,read,4
369,1113,0.0,read,4
370,1679,0.0,read,4
371,2982,0.0,read,4
372,1713,0.0,read,4
373,1490,0.0,read,4
374,1126,0.0,read,4
375,1441,0.0,read,4
376,1284,0.0,read,4
377,1246,0.0,read,4
378,1511,0.0,read,4
379,1398,0.0,read,4
380,1342,0.0,read,4
381,1493,0.0,read,4
382,1312,0.0,read,4
383,1608,0.0,read,4
384,1458,0.0,read,4
385,1574,0.0,read,4
386,1924,0.0,read,4
387,1460,0.0,read,4
388,1328,0.0,read,4
389,1343,0.0,read,4
390,1440,0.0,read,4
391,1937,0.0,read,4
392,1378,0.0,read,4
393,1427,0.0,read,4
394,1445,0.0,read,4
395,1523,0.0,read,4
396,1477,0.0,read,4
397,1286,0.0,read,4
398,1479,0.0,read,4
399,1259,0.0,read,4
400,1453,0.0,read,4
401,1369,0.0,read,4
402,1603,0.0,read,4
403,1346,0.0,read,4
404,1313,0.0,read,4
405,1224,0.0,read,4
406,1271,0.0,read,4
407,1227,0.0,read,4
408,1312,0.0,read,4
409,1224,0.0,read,4
410,1211,0.0,read,4
411,1287,0.0,read,4
412,1214,0.0,read,4
413,1684,0.0,read,4
414,1396,0.0,read,4
415,1516,0.0,read,4
416,1448,0.0,read,4
417,1404,0.0,read,4
418,2021,0.0,read,4
419,207581,0.0,read,4
420,2172,0.0,read,4
421,1665,0.0,read,4
422,1611,0.0,read,4
423,1623,0.0,read,4
424,1428,0.0,read,4
425,1994,0.0,read,4
426,1655,0.0,read,4
427,1528,0.0,read,4
428,1332,0.0,read,4
429,1509,0.0,read,4
430,1210,0.0,read,4
431,1273,0.0,read,4
432,1101,0.0,read,4
433,1339,0.0,read,4
434,1294,0.0,read,4
435,1090,0.0,read,4
436,1300,0.0,read,4
437,1327,0.0,read,4
438,1436,0.0,read,4
439,1114,0.0,read,4
