,mean_value,execution_counts,type,function
0,89587820.93750013,14,execution_times,writer
1,108165984.43835792,38,execution_times,writer
2,105348578.69544803,39,execution_times,writer
3,105203243.03847697,38,execution_times,writer
4,119624718.04902862,37,execution_times,writer
5,141913395.2487966,34,execution_times,writer
7,269222980.2777774,13,execution_times,distributor
8,286803912.05680364,38,execution_times,distributor
9,274285986.4292664,38,execution_times,distributor
10,289904284.27656615,38,execution_times,distributor
11,310711511.3161978,37,execution_times,distributor
12,380183485.47194976,33,execution_times,distributor
13,402292373.2043564,3,execution_times,distributor
14,132973692.12346499,1,user_memory_bytes,writer
15,132965370.3137109,1,user_memory_bytes,writer
16,132938722.05609639,1,user_memory_bytes,writer
17,132779960.77725205,1,user_memory_bytes,writer
18,132663852.26676936,1,user_memory_bytes,writer
19,120978827.19231275,1,user_memory_bytes,writer
20,128028672.0,1,user_memory_bytes,distributor
21,127655936.0,1,user_memory_bytes,distributor
22,127111168.0,1,user_memory_bytes,distributor
23,126976000.0,1,user_memory_bytes,distributor
24,126873600.0,1,user_memory_bytes,distributor
25,125358080.0,1,user_memory_bytes,distributor
26,0.0,0,network_egress,writer
27,0.0,0,network_egress,writer
28,0.0,0,network_egress,writer
29,0.0,0,network_egress,writer
30,0.0,0,network_egress,writer
31,0.0,0,network_egress,writer
32,0.0,0,network_egress,writer
33,0.0,0,network_egress,distributor
34,0.0,0,network_egress,distributor
35,0.0,0,network_egress,distributor
36,0.0,0,network_egress,distributor
37,0.0,0,network_egress,distributor
38,0.0,0,network_egress,distributor
39,0.0,0,network_egress,distributor
