,data,client_write_data,op,memory,size
0,4464083.0,565.0,set_data,512,4
1,554621.0,1100.0,set_data,512,4
2,618444.0,701.0,set_data,512,4
3,655008.0,523.0,set_data,512,4
4,574627.0,741.0,set_data,512,4
5,665232.0,726.0,set_data,512,4
6,531950.0,692.0,set_data,512,4
7,595628.0,550.0,set_data,512,4
8,579018.0,775.0,set_data,512,4
9,615977.0,792.0,set_data,512,4
10,570971.0,717.0,set_data,512,4
11,623260.0,670.0,set_data,512,4
12,670856.0,626.0,set_data,512,4
13,534622.0,504.0,set_data,512,4
14,753098.0,541.0,set_data,512,4
15,523516.0,562.0,set_data,512,4
16,521157.0,599.0,set_data,512,4
17,632929.0,526.0,set_data,512,4
18,528006.0,551.0,set_data,512,4
19,654116.0,521.0,set_data,512,4
20,551026.0,649.0,set_data,512,4
21,746464.0,674.0,set_data,512,4
22,640115.0,549.0,set_data,512,4
23,578948.0,554.0,set_data,512,4
24,495517.0,523.0,set_data,512,4
25,502130.0,643.0,set_data,512,4
26,517358.0,858.0,set_data,512,4
27,635925.0,727.0,set_data,512,4
28,481951.0,620.0,set_data,512,4
29,569701.0,770.0,set_data,512,4
30,560498.0,670.0,set_data,512,4
31,503210.0,727.0,set_data,512,4
32,565245.0,646.0,set_data,512,4
33,475254.0,528.0,set_data,512,4
34,452544.0,599.0,set_data,512,4
35,459863.0,640.0,set_data,512,4
36,475901.0,575.0,set_data,512,4
37,411350.0,553.0,set_data,512,4
38,452328.0,799.0,set_data,512,4
39,417165.0,811.0,set_data,512,4
40,424349.0,742.0,set_data,512,4
41,438056.0,844.0,set_data,512,4
42,522805.0,857.0,set_data,512,4
43,444099.0,706.0,set_data,512,4
44,468421.0,583.0,set_data,512,4
45,574725.0,571.0,set_data,512,4
46,498209.0,542.0,set_data,512,4
47,512442.0,513.0,set_data,512,4
48,465274.0,558.0,set_data,512,4
49,528543.0,540.0,set_data,512,4
50,404305.0,735.0,set_data,512,4
51,509232.0,633.0,set_data,512,4
52,443706.0,609.0,set_data,512,4
53,429740.0,539.0,set_data,512,4
54,447850.0,546.0,set_data,512,4
55,530953.0,785.0,set_data,512,4
56,457015.0,681.0,set_data,512,4
57,452342.0,681.0,set_data,512,4
58,456893.0,689.0,set_data,512,4
59,444480.0,649.0,set_data,512,4
60,428464.0,513.0,set_data,512,4
61,434999.0,693.0,set_data,512,4
62,460404.0,533.0,set_data,512,4
63,452011.0,787.0,set_data,512,4
64,400751.0,594.0,set_data,512,4
65,434601.0,806.0,set_data,512,4
66,502692.0,639.0,set_data,512,4
67,457616.0,531.0,set_data,512,4
68,420348.0,520.0,set_data,512,4
69,556815.0,533.0,set_data,512,4
70,543831.0,854.0,set_data,512,4
71,460420.0,808.0,set_data,512,4
72,525696.0,801.0,set_data,512,4
73,405824.0,644.0,set_data,512,4
74,461786.0,546.0,set_data,512,4
75,470689.0,604.0,set_data,512,4
76,391947.0,672.0,set_data,512,4
77,418206.0,580.0,set_data,512,4
78,427299.0,575.0,set_data,512,4
79,394701.0,546.0,set_data,512,4
80,460463.0,528.0,set_data,512,4
81,512461.0,749.0,set_data,512,4
82,432290.0,648.0,set_data,512,4
83,406720.0,524.0,set_data,512,4
84,430566.0,850.0,set_data,512,4
85,479737.0,645.0,set_data,512,4
86,420516.0,527.0,set_data,512,4
87,452909.0,645.0,set_data,512,4
88,544367.0,518.0,set_data,512,4
89,479230.0,536.0,set_data,512,4
90,424975.0,739.0,set_data,512,4
91,417840.0,627.0,set_data,512,4
92,438010.0,674.0,set_data,512,4
93,376065.0,589.0,set_data,512,4
94,430105.0,541.0,set_data,512,4
95,423340.0,530.0,set_data,512,4
96,404210.0,531.0,set_data,512,4
97,371866.0,611.0,set_data,512,4
98,619014.0,621.0,set_data,512,4
99,398557.0,568.0,set_data,512,4
100,475805.0,747.0,set_data,512,4
101,429410.0,699.0,set_data,512,4
102,449617.0,716.0,set_data,512,4
103,455714.0,578.0,set_data,512,4
104,399545.0,554.0,set_data,512,4
105,400329.0,531.0,set_data,512,4
106,458241.0,711.0,set_data,512,4
107,464658.0,648.0,set_data,512,4
108,442309.0,748.0,set_data,512,4
109,400067.0,712.0,set_data,512,4
110,435459.0,537.0,set_data,512,4
111,417635.0,545.0,set_data,512,4
112,353797.0,599.0,set_data,512,4
113,518387.0,753.0,set_data,512,4
114,407845.0,724.0,set_data,512,4
115,442394.0,922.0,set_data,512,4
116,509412.0,701.0,set_data,512,4
117,454529.0,712.0,set_data,512,4
118,426468.0,689.0,set_data,512,4
119,486109.0,795.0,set_data,512,4
120,457237.0,794.0,set_data,512,4
121,404174.0,766.0,set_data,512,4
122,528092.0,653.0,set_data,512,4
123,398150.0,565.0,set_data,512,4
124,391946.0,874.0,set_data,512,4
125,431645.0,649.0,set_data,512,4
126,478636.0,707.0,set_data,512,4
127,452022.0,807.0,set_data,512,4
128,395232.0,547.0,set_data,512,4
129,550536.0,796.0,set_data,512,4
130,443318.0,807.0,set_data,512,4
131,448111.0,775.0,set_data,512,4
132,382828.0,692.0,set_data,512,4
133,489953.0,529.0,set_data,512,4
134,488518.0,869.0,set_data,512,4
135,372465.0,659.0,set_data,512,4
136,422752.0,674.0,set_data,512,4
137,488754.0,705.0,set_data,512,4
138,568538.0,764.0,set_data,512,4
139,412724.0,631.0,set_data,512,4
140,406826.0,530.0,set_data,512,4
141,455490.0,604.0,set_data,512,4
142,497336.0,569.0,set_data,512,4
143,356422.0,629.0,set_data,512,4
144,460327.0,584.0,set_data,512,4
145,377999.0,695.0,set_data,512,4
146,566363.0,646.0,set_data,512,4
147,513702.0,674.0,set_data,512,4
148,424221.0,710.0,set_data,512,4
149,491644.0,485.0,set_data,512,4
150,398301.0,757.0,set_data,512,4
151,526977.0,679.0,set_data,512,4
152,424881.0,526.0,set_data,512,4
153,527545.0,607.0,set_data,512,4
154,454241.0,679.0,set_data,512,4
155,489407.0,803.0,set_data,512,4
156,678142.0,779.0,set_data,512,4
157,461312.0,828.0,set_data,512,4
158,530527.0,653.0,set_data,512,4
159,542411.0,623.0,set_data,512,4
160,460095.0,999.0,set_data,512,4
161,503144.0,855.0,set_data,512,4
162,489379.0,555.0,set_data,512,4
163,417530.0,592.0,set_data,512,4
164,391398.0,529.0,set_data,512,4
165,528545.0,777.0,set_data,512,4
166,400318.0,645.0,set_data,512,4
167,409209.0,553.0,set_data,512,4
168,509369.0,527.0,set_data,512,4
169,405135.0,512.0,set_data,512,4
170,565041.0,703.0,set_data,512,4
171,423355.0,722.0,set_data,512,4
172,439028.0,713.0,set_data,512,4
173,525618.0,646.0,set_data,512,4
174,359386.0,672.0,set_data,512,4
175,352213.0,775.0,set_data,512,4
176,448617.0,706.0,set_data,512,4
177,566747.0,680.0,set_data,512,4
178,328679.0,926.0,set_data,512,4
179,408320.0,756.0,set_data,512,4
180,394254.0,659.0,set_data,512,4
181,359032.0,698.0,set_data,512,4
182,431912.0,611.0,set_data,512,4
183,378357.0,709.0,set_data,512,4
184,397806.0,506.0,set_data,512,4
185,444086.0,692.0,set_data,512,4
186,395909.0,667.0,set_data,512,4
187,462976.0,644.0,set_data,512,4
188,380897.0,779.0,set_data,512,4
189,423127.0,726.0,set_data,512,4
190,387021.0,659.0,set_data,512,4
191,393668.0,627.0,set_data,512,4
192,394951.0,737.0,set_data,512,4
193,423890.0,635.0,set_data,512,4
194,386860.0,536.0,set_data,512,4
195,588493.0,543.0,set_data,512,4
196,399461.0,718.0,set_data,512,4
197,426355.0,817.0,set_data,512,4
198,375420.0,679.0,set_data,512,4
199,402311.0,811.0,set_data,512,4
200,1701126147.904711,,EXPERIMENT_BEGIN,512,4
201,1701126466.526642,,EXPERIMENT_END,512,4
