,data,client_write_data,op,memory,size
0,3114323,2467,set_data,2048,131072
1,463456,1655,set_data,2048,131072
2,463766,1800,set_data,2048,131072
3,412018,1857,set_data,2048,131072
4,411999,1705,set_data,2048,131072
5,440234,1544,set_data,2048,131072
6,456243,1580,set_data,2048,131072
7,574560,1847,set_data,2048,131072
8,481011,1742,set_data,2048,131072
9,484396,1537,set_data,2048,131072
10,440559,1596,set_data,2048,131072
11,454103,1594,set_data,2048,131072
12,446734,1927,set_data,2048,131072
13,478537,1623,set_data,2048,131072
14,568390,1733,set_data,2048,131072
15,448472,1629,set_data,2048,131072
16,439775,1885,set_data,2048,131072
17,451251,1639,set_data,2048,131072
18,491608,1807,set_data,2048,131072
19,474138,1632,set_data,2048,131072
20,497095,1515,set_data,2048,131072
21,490674,1886,set_data,2048,131072
22,412605,1911,set_data,2048,131072
23,432183,1795,set_data,2048,131072
24,432487,1864,set_data,2048,131072
25,404395,1711,set_data,2048,131072
26,435892,1826,set_data,2048,131072
27,439823,1806,set_data,2048,131072
28,451442,1541,set_data,2048,131072
29,426063,1565,set_data,2048,131072
30,552622,1514,set_data,2048,131072
31,479498,1562,set_data,2048,131072
32,443097,1868,set_data,2048,131072
33,435131,1935,set_data,2048,131072
34,487217,1766,set_data,2048,131072
35,506215,1916,set_data,2048,131072
36,448106,1610,set_data,2048,131072
37,440024,1850,set_data,2048,131072
38,399722,1634,set_data,2048,131072
39,479048,1938,set_data,2048,131072
40,478210,1933,set_data,2048,131072
41,443687,1959,set_data,2048,131072
42,471145,1968,set_data,2048,131072
43,401789,1685,set_data,2048,131072
44,428332,1601,set_data,2048,131072
45,395140,1555,set_data,2048,131072
46,452227,1559,set_data,2048,131072
47,438842,1910,set_data,2048,131072
48,424032,1809,set_data,2048,131072
49,438306,1788,set_data,2048,131072
50,475470,1921,set_data,2048,131072
51,482916,1952,set_data,2048,131072
52,517879,1917,set_data,2048,131072
53,455471,1709,set_data,2048,131072
54,578342,1994,set_data,2048,131072
55,418761,1764,set_data,2048,131072
56,409622,1901,set_data,2048,131072
57,418043,1804,set_data,2048,131072
58,487696,1783,set_data,2048,131072
59,393888,1857,set_data,2048,131072
60,409737,1661,set_data,2048,131072
61,401422,1595,set_data,2048,131072
62,431176,1889,set_data,2048,131072
63,359674,1755,set_data,2048,131072
64,454978,1769,set_data,2048,131072
65,485156,1611,set_data,2048,131072
66,427835,1993,set_data,2048,131072
67,398955,1845,set_data,2048,131072
68,373668,1698,set_data,2048,131072
69,389718,1928,set_data,2048,131072
70,451116,1660,set_data,2048,131072
71,422207,1868,set_data,2048,131072
72,431757,1708,set_data,2048,131072
73,433020,1551,set_data,2048,131072
74,668516,1538,set_data,2048,131072
75,422170,1498,set_data,2048,131072
76,389208,1543,set_data,2048,131072
77,396732,1652,set_data,2048,131072
78,431079,1792,set_data,2048,131072
79,487202,1617,set_data,2048,131072
80,469488,1815,set_data,2048,131072
81,440124,1792,set_data,2048,131072
82,591794,1810,set_data,2048,131072
83,428375,1675,set_data,2048,131072
84,510304,1769,set_data,2048,131072
85,538936,1744,set_data,2048,131072
86,408448,2121,set_data,2048,131072
87,464592,1491,set_data,2048,131072
88,445001,3873,set_data,2048,131072
89,461024,1911,set_data,2048,131072
90,464117,1713,set_data,2048,131072
91,435432,1484,set_data,2048,131072
92,402387,1799,set_data,2048,131072
93,405250,1885,set_data,2048,131072
94,471957,1865,set_data,2048,131072
95,464917,1712,set_data,2048,131072
96,480627,1525,set_data,2048,131072
97,444478,1738,set_data,2048,131072
98,405509,1832,set_data,2048,131072
99,462157,1702,set_data,2048,131072
100,392812,1585,set_data,2048,131072
101,435708,1768,set_data,2048,131072
102,466023,1657,set_data,2048,131072
103,428315,1521,set_data,2048,131072
104,457518,1604,set_data,2048,131072
105,480965,1557,set_data,2048,131072
106,526826,1664,set_data,2048,131072
107,414901,1602,set_data,2048,131072
108,409023,1708,set_data,2048,131072
109,425928,1577,set_data,2048,131072
110,449701,1891,set_data,2048,131072
111,418854,2032,set_data,2048,131072
112,453914,1719,set_data,2048,131072
113,786020,1857,set_data,2048,131072
114,545581,1817,set_data,2048,131072
115,531386,1657,set_data,2048,131072
116,452188,2265,set_data,2048,131072
117,472030,1850,set_data,2048,131072
118,578450,1711,set_data,2048,131072
119,441505,1594,set_data,2048,131072
120,426916,1912,set_data,2048,131072
121,445536,1669,set_data,2048,131072
122,450677,1824,set_data,2048,131072
123,474809,1640,set_data,2048,131072
124,486253,1549,set_data,2048,131072
125,431685,1511,set_data,2048,131072
126,409285,1814,set_data,2048,131072
127,414268,1906,set_data,2048,131072
128,402608,1759,set_data,2048,131072
129,376716,1663,set_data,2048,131072
130,381543,1591,set_data,2048,131072
131,393577,1616,set_data,2048,131072
132,440272,1560,set_data,2048,131072
133,390271,1908,set_data,2048,131072
134,395483,1869,set_data,2048,131072
135,410546,1806,set_data,2048,131072
136,390880,1748,set_data,2048,131072
137,434816,1603,set_data,2048,131072
138,553380,1527,set_data,2048,131072
139,488617,1625,set_data,2048,131072
140,468603,1655,set_data,2048,131072
141,421444,1657,set_data,2048,131072
142,398842,1569,set_data,2048,131072
143,415778,1861,set_data,2048,131072
144,410261,1686,set_data,2048,131072
145,496650,1575,set_data,2048,131072
146,530819,1941,set_data,2048,131072
147,453669,1872,set_data,2048,131072
148,450864,1684,set_data,2048,131072
149,466715,1789,set_data,2048,131072
150,511724,1588,set_data,2048,131072
