,data,client_write_data,op,memory,size
0,3703331,3765,set_data,2048,262144
1,549957,2501,set_data,2048,262144
2,490229,3002,set_data,2048,262144
3,514600,3005,set_data,2048,262144
4,574415,3060,set_data,2048,262144
5,495050,2700,set_data,2048,262144
6,707330,2588,set_data,2048,262144
7,606361,3010,set_data,2048,262144
8,574620,2942,set_data,2048,262144
9,578632,2680,set_data,2048,262144
10,621984,2596,set_data,2048,262144
11,536181,2679,set_data,2048,262144
12,535100,2529,set_data,2048,262144
13,528890,2933,set_data,2048,262144
14,679400,2627,set_data,2048,262144
15,635897,2507,set_data,2048,262144
16,531387,2553,set_data,2048,262144
17,507445,2951,set_data,2048,262144
18,735006,2976,set_data,2048,262144
19,472847,2654,set_data,2048,262144
20,516700,2934,set_data,2048,262144
21,548059,2818,set_data,2048,262144
22,488770,2561,set_data,2048,262144
23,519329,2615,set_data,2048,262144
24,471727,3007,set_data,2048,262144
25,495116,2888,set_data,2048,262144
26,519466,2718,set_data,2048,262144
27,520352,2960,set_data,2048,262144
28,471221,2929,set_data,2048,262144
29,487341,2675,set_data,2048,262144
30,450616,2440,set_data,2048,262144
31,475235,2501,set_data,2048,262144
32,459849,2499,set_data,2048,262144
33,433790,2574,set_data,2048,262144
34,529062,2591,set_data,2048,262144
35,546635,2597,set_data,2048,262144
36,543394,2659,set_data,2048,262144
37,466609,2567,set_data,2048,262144
38,502619,2619,set_data,2048,262144
39,563332,2603,set_data,2048,262144
40,525314,2986,set_data,2048,262144
41,503215,2702,set_data,2048,262144
42,542281,2921,set_data,2048,262144
43,495283,2650,set_data,2048,262144
44,532247,2927,set_data,2048,262144
45,471795,2574,set_data,2048,262144
46,424470,2893,set_data,2048,262144
47,469138,2911,set_data,2048,262144
48,444058,2928,set_data,2048,262144
49,486640,2948,set_data,2048,262144
50,544081,2940,set_data,2048,262144
51,481723,2690,set_data,2048,262144
52,471179,2525,set_data,2048,262144
53,492867,3158,set_data,2048,262144
54,446549,2585,set_data,2048,262144
55,483351,2507,set_data,2048,262144
56,529220,3014,set_data,2048,262144
57,405920,2737,set_data,2048,262144
58,540319,2911,set_data,2048,262144
59,514825,2692,set_data,2048,262144
60,517277,2938,set_data,2048,262144
61,467252,2698,set_data,2048,262144
62,505089,3921,set_data,2048,262144
63,474760,2881,set_data,2048,262144
64,403608,3111,set_data,2048,262144
65,468281,2678,set_data,2048,262144
66,398535,2875,set_data,2048,262144
67,507901,3095,set_data,2048,262144
68,453199,2822,set_data,2048,262144
69,529880,2934,set_data,2048,262144
70,431439,2822,set_data,2048,262144
71,485890,2932,set_data,2048,262144
72,467873,2915,set_data,2048,262144
73,461990,2799,set_data,2048,262144
74,544207,2974,set_data,2048,262144
75,557121,2662,set_data,2048,262144
76,465907,2482,set_data,2048,262144
77,613805,2464,set_data,2048,262144
78,645108,2940,set_data,2048,262144
79,456533,2967,set_data,2048,262144
80,446794,3164,set_data,2048,262144
81,487710,2688,set_data,2048,262144
82,522476,2525,set_data,2048,262144
83,434899,2520,set_data,2048,262144
84,442599,2538,set_data,2048,262144
85,436621,2474,set_data,2048,262144
86,508094,2540,set_data,2048,262144
87,414023,2567,set_data,2048,262144
88,479303,2553,set_data,2048,262144
89,478312,2955,set_data,2048,262144
90,539754,2740,set_data,2048,262144
