,data,client_write_data,op,memory,size
0,1969007.0,65064.0,set_data,512,1024
1,196799.0,15201.0,set_data,512,1024
2,148190.0,13984.0,set_data,512,1024
3,192048.0,15990.0,set_data,512,1024
4,207537.0,14953.0,set_data,512,1024
5,213190.0,12158.0,set_data,512,1024
6,281466.0,13154.0,set_data,512,1024
7,278183.0,11248.0,set_data,512,1024
8,147830.0,15477.0,set_data,512,1024
9,178366.0,12400.0,set_data,512,1024
10,156489.0,14152.0,set_data,512,1024
11,192037.0,14301.0,set_data,512,1024
12,197934.0,15763.0,set_data,512,1024
13,156335.0,14222.0,set_data,512,1024
14,127451.0,12711.0,set_data,512,1024
15,205661.0,12344.0,set_data,512,1024
16,158335.0,115231.0,set_data,512,1024
17,137786.0,13972.0,set_data,512,1024
18,155267.0,15358.0,set_data,512,1024
19,153007.0,14335.0,set_data,512,1024
20,156883.0,15390.0,set_data,512,1024
21,141818.0,11764.0,set_data,512,1024
22,153187.0,13230.0,set_data,512,1024
23,139743.0,12597.0,set_data,512,1024
24,196643.0,14269.0,set_data,512,1024
25,135629.0,12999.0,set_data,512,1024
26,154088.0,12661.0,set_data,512,1024
27,161381.0,13803.0,set_data,512,1024
28,176054.0,15549.0,set_data,512,1024
29,186920.0,14549.0,set_data,512,1024
30,150089.0,13350.0,set_data,512,1024
31,191494.0,16164.0,set_data,512,1024
32,184896.0,13628.0,set_data,512,1024
33,177768.0,16048.0,set_data,512,1024
34,214048.0,13640.0,set_data,512,1024
35,245226.0,14135.0,set_data,512,1024
36,197041.0,14832.0,set_data,512,1024
37,161229.0,12803.0,set_data,512,1024
38,184813.0,13409.0,set_data,512,1024
39,174559.0,16285.0,set_data,512,1024
40,135863.0,11889.0,set_data,512,1024
41,154777.0,13338.0,set_data,512,1024
42,149012.0,14471.0,set_data,512,1024
43,186230.0,15896.0,set_data,512,1024
44,172770.0,15270.0,set_data,512,1024
45,145747.0,10484.0,set_data,512,1024
46,169388.0,28593.0,set_data,512,1024
47,302133.0,13956.0,set_data,512,1024
48,135939.0,14966.0,set_data,512,1024
49,154012.0,12708.0,set_data,512,1024
50,303444.0,43073.0,set_data,512,1024
51,154320.0,14033.0,set_data,512,1024
52,161323.0,13797.0,set_data,512,1024
53,152283.0,14565.0,set_data,512,1024
54,194782.0,20999.0,set_data,512,1024
55,206437.0,11096.0,set_data,512,1024
56,143089.0,12355.0,set_data,512,1024
57,179068.0,15462.0,set_data,512,1024
58,160506.0,15603.0,set_data,512,1024
59,215743.0,13467.0,set_data,512,1024
60,164567.0,14273.0,set_data,512,1024
61,176683.0,12678.0,set_data,512,1024
