,data,client_write_data,op,memory,size
0,762342,706,set_data,2048,1024
1,479355,816,set_data,2048,1024
2,524572,704,set_data,2048,1024
3,560612,574,set_data,2048,1024
4,474153,588,set_data,2048,1024
5,486412,815,set_data,2048,1024
6,589690,745,set_data,2048,1024
7,445032,588,set_data,2048,1024
8,443899,775,set_data,2048,1024
9,426701,568,set_data,2048,1024
10,446772,598,set_data,2048,1024
11,480215,567,set_data,2048,1024
12,421441,561,set_data,2048,1024
13,419895,780,set_data,2048,1024
14,463770,707,set_data,2048,1024
15,462796,703,set_data,2048,1024
16,447758,709,set_data,2048,1024
17,453300,826,set_data,2048,1024
18,430789,729,set_data,2048,1024
19,777900,715,set_data,2048,1024
20,390746,725,set_data,2048,1024
21,399095,617,set_data,2048,1024
22,570126,580,set_data,2048,1024
23,429886,769,set_data,2048,1024
24,631329,756,set_data,2048,1024
25,491988,685,set_data,2048,1024
26,399143,760,set_data,2048,1024
27,420106,771,set_data,2048,1024
28,479113,754,set_data,2048,1024
29,423228,589,set_data,2048,1024
30,525005,725,set_data,2048,1024
31,427271,730,set_data,2048,1024
32,460396,806,set_data,2048,1024
33,429390,713,set_data,2048,1024
34,445690,633,set_data,2048,1024
35,508228,757,set_data,2048,1024
36,418678,732,set_data,2048,1024
37,378777,742,set_data,2048,1024
38,392879,667,set_data,2048,1024
39,399704,567,set_data,2048,1024
40,380049,594,set_data,2048,1024
41,376829,627,set_data,2048,1024
42,532114,606,set_data,2048,1024
43,417928,3977,set_data,2048,1024
44,428415,634,set_data,2048,1024
45,437940,587,set_data,2048,1024
46,424772,801,set_data,2048,1024
47,401723,729,set_data,2048,1024
48,402052,668,set_data,2048,1024
49,451365,748,set_data,2048,1024
50,440545,722,set_data,2048,1024
51,387084,683,set_data,2048,1024
52,406473,668,set_data,2048,1024
53,500000,551,set_data,2048,1024
54,455008,1049,set_data,2048,1024
55,524230,6740,set_data,2048,1024
56,389735,684,set_data,2048,1024
57,350948,664,set_data,2048,1024
58,445176,659,set_data,2048,1024
59,428697,583,set_data,2048,1024
60,420312,565,set_data,2048,1024
61,377697,559,set_data,2048,1024
62,449835,708,set_data,2048,1024
63,448881,848,set_data,2048,1024
64,420556,725,set_data,2048,1024
65,397778,654,set_data,2048,1024
66,338575,639,set_data,2048,1024
67,390370,572,set_data,2048,1024
68,397613,603,set_data,2048,1024
69,390223,752,set_data,2048,1024
70,318906,656,set_data,2048,1024
71,379913,735,set_data,2048,1024
72,374876,693,set_data,2048,1024
73,335267,712,set_data,2048,1024
74,410366,713,set_data,2048,1024
75,499219,812,set_data,2048,1024
76,662956,677,set_data,2048,1024
77,434151,726,set_data,2048,1024
78,430445,727,set_data,2048,1024
79,425689,816,set_data,2048,1024
80,383783,726,set_data,2048,1024
81,391605,601,set_data,2048,1024
82,397168,562,set_data,2048,1024
83,373293,772,set_data,2048,1024
84,360288,783,set_data,2048,1024
85,401620,859,set_data,2048,1024
86,497612,691,set_data,2048,1024
87,427669,592,set_data,2048,1024
88,432501,546,set_data,2048,1024
89,373327,601,set_data,2048,1024
90,413928,730,set_data,2048,1024
91,412925,746,set_data,2048,1024
92,474198,751,set_data,2048,1024
93,381024,672,set_data,2048,1024
94,392621,552,set_data,2048,1024
95,437605,812,set_data,2048,1024
96,410438,680,set_data,2048,1024
97,451241,798,set_data,2048,1024
98,496007,773,set_data,2048,1024
99,435719,767,set_data,2048,1024
100,409108,536,set_data,2048,1024
101,390176,670,set_data,2048,1024
102,444943,716,set_data,2048,1024
103,429103,711,set_data,2048,1024
104,403915,762,set_data,2048,1024
105,452707,775,set_data,2048,1024
106,484723,739,set_data,2048,1024
107,365280,789,set_data,2048,1024
108,402066,730,set_data,2048,1024
109,410233,583,set_data,2048,1024
110,379989,694,set_data,2048,1024
111,365444,589,set_data,2048,1024
112,422475,711,set_data,2048,1024
113,381479,571,set_data,2048,1024
114,428621,746,set_data,2048,1024
115,410309,730,set_data,2048,1024
116,415286,649,set_data,2048,1024
117,424973,800,set_data,2048,1024
118,401563,718,set_data,2048,1024
119,374507,660,set_data,2048,1024
120,386027,627,set_data,2048,1024
121,376313,669,set_data,2048,1024
122,453777,582,set_data,2048,1024
123,431586,797,set_data,2048,1024
124,491925,768,set_data,2048,1024
125,446067,760,set_data,2048,1024
126,476130,778,set_data,2048,1024
127,406320,688,set_data,2048,1024
128,558011,571,set_data,2048,1024
129,459271,789,set_data,2048,1024
130,401178,750,set_data,2048,1024
131,426931,870,set_data,2048,1024
132,574786,701,set_data,2048,1024
133,447549,773,set_data,2048,1024
134,440250,730,set_data,2048,1024
135,405060,745,set_data,2048,1024
136,429038,684,set_data,2048,1024
137,354616,720,set_data,2048,1024
138,387076,722,set_data,2048,1024
139,466211,717,set_data,2048,1024
140,448255,2615,set_data,2048,1024
141,437263,706,set_data,2048,1024
142,402018,725,set_data,2048,1024
143,472151,660,set_data,2048,1024
144,406005,675,set_data,2048,1024
145,388667,807,set_data,2048,1024
146,412018,753,set_data,2048,1024
147,511269,766,set_data,2048,1024
148,392597,785,set_data,2048,1024
149,523535,688,set_data,2048,1024
150,356240,563,set_data,2048,1024
151,393013,601,set_data,2048,1024
152,407855,857,set_data,2048,1024
153,419299,690,set_data,2048,1024
154,425440,744,set_data,2048,1024
155,450102,683,set_data,2048,1024
