,data,client_write_data,op,memory,size
0,1323827.0,14752.0,set_data,1024,1024
1,130349.0,13523.0,set_data,1024,1024
2,133167.0,15916.0,set_data,1024,1024
3,133176.0,15781.0,set_data,1024,1024
4,197268.0,15478.0,set_data,1024,1024
5,140704.0,11031.0,set_data,1024,1024
6,377492.0,10990.0,set_data,1024,1024
7,150168.0,10309.0,set_data,1024,1024
8,166794.0,10137.0,set_data,1024,1024
9,213490.0,11987.0,set_data,1024,1024
10,175568.0,10070.0,set_data,1024,1024
11,145745.0,11516.0,set_data,1024,1024
12,283273.0,11775.0,set_data,1024,1024
13,134284.0,11996.0,set_data,1024,1024
14,203279.0,15280.0,set_data,1024,1024
15,138720.0,13939.0,set_data,1024,1024
16,166402.0,44988.0,set_data,1024,1024
17,159170.0,13828.0,set_data,1024,1024
18,140237.0,11103.0,set_data,1024,1024
19,138494.0,13678.0,set_data,1024,1024
20,144021.0,10883.0,set_data,1024,1024
21,168721.0,10934.0,set_data,1024,1024
22,134613.0,15943.0,set_data,1024,1024
23,135528.0,14492.0,set_data,1024,1024
24,157813.0,15065.0,set_data,1024,1024
25,135932.0,15339.0,set_data,1024,1024
26,243849.0,13613.0,set_data,1024,1024
27,239727.0,11906.0,set_data,1024,1024
28,129075.0,10120.0,set_data,1024,1024
29,138142.0,12573.0,set_data,1024,1024
30,131507.0,11320.0,set_data,1024,1024
31,186197.0,10229.0,set_data,1024,1024
32,179451.0,13776.0,set_data,1024,1024
33,150187.0,9780.0,set_data,1024,1024
34,127949.0,11470.0,set_data,1024,1024
35,175175.0,10859.0,set_data,1024,1024
36,133232.0,10111.0,set_data,1024,1024
37,154491.0,23252.0,set_data,1024,1024
38,194750.0,13737.0,set_data,1024,1024
39,153212.0,10490.0,set_data,1024,1024
40,140817.0,10025.0,set_data,1024,1024
41,122966.0,18331.0,set_data,1024,1024
42,149269.0,28993.0,set_data,1024,1024
43,139583.0,12597.0,set_data,1024,1024
44,143875.0,13255.0,set_data,1024,1024
45,155402.0,12833.0,set_data,1024,1024
46,149795.0,23882.0,set_data,1024,1024
47,148246.0,18796.0,set_data,1024,1024
48,138492.0,11585.0,set_data,1024,1024
49,165555.0,33549.0,set_data,1024,1024
50,171839.0,13694.0,set_data,1024,1024
51,194886.0,14953.0,set_data,1024,1024
52,154854.0,23402.0,set_data,1024,1024
53,136596.0,12510.0,set_data,1024,1024
54,143710.0,11029.0,set_data,1024,1024
55,165029.0,12137.0,set_data,1024,1024
56,133639.0,16679.0,set_data,1024,1024
57,156432.0,44595.0,set_data,1024,1024
58,133209.0,11256.0,set_data,1024,1024
59,143341.0,12613.0,set_data,1024,1024
60,142209.0,11647.0,set_data,1024,1024
61,135144.0,12717.0,set_data,1024,1024
62,360519.0,9918.0,set_data,1024,1024
63,146539.0,11656.0,set_data,1024,1024
64,137384.0,10453.0,set_data,1024,1024
65,129044.0,11279.0,set_data,1024,1024
66,136926.0,12880.0,set_data,1024,1024
67,140747.0,12979.0,set_data,1024,1024
68,209988.0,16339.0,set_data,1024,1024
69,143253.0,11842.0,set_data,1024,1024
70,152671.0,11934.0,set_data,1024,1024
71,206643.0,14531.0,set_data,1024,1024
72,139957.0,12560.0,set_data,1024,1024
73,153868.0,8940.0,set_data,1024,1024
74,158918.0,25548.0,set_data,1024,1024
75,150005.0,12610.0,set_data,1024,1024
76,142796.0,14182.0,set_data,1024,1024
77,172942.0,40319.0,set_data,1024,1024
78,220110.0,12137.0,set_data,1024,1024
79,161736.0,15902.0,set_data,1024,1024
80,142189.0,12375.0,set_data,1024,1024
81,160968.0,34556.0,set_data,1024,1024
82,148722.0,11212.0,set_data,1024,1024
83,134123.0,10201.0,set_data,1024,1024
84,219056.0,16009.0,set_data,1024,1024
85,137238.0,13007.0,set_data,1024,1024
86,178216.0,11547.0,set_data,1024,1024
87,143821.0,13981.0,set_data,1024,1024
88,248561.0,12136.0,set_data,1024,1024
89,140485.0,10460.0,set_data,1024,1024
90,145819.0,11602.0,set_data,1024,1024
91,134819.0,15990.0,set_data,1024,1024
92,177329.0,11769.0,set_data,1024,1024
93,132701.0,12381.0,set_data,1024,1024
94,138543.0,13688.0,set_data,1024,1024
95,156517.0,13477.0,set_data,1024,1024
96,151125.0,9714.0,set_data,1024,1024
97,138917.0,16503.0,set_data,1024,1024
98,184504.0,17335.0,set_data,1024,1024
99,145409.0,10707.0,set_data,1024,1024
100,237241.0,12667.0,set_data,1024,1024
101,135959.0,10702.0,set_data,1024,1024
102,136159.0,17381.0,set_data,1024,1024
103,205306.0,14131.0,set_data,1024,1024
104,203622.0,58651.0,set_data,1024,1024
105,207379.0,15885.0,set_data,1024,1024
106,156044.0,17133.0,set_data,1024,1024
107,175810.0,13309.0,set_data,1024,1024
108,146052.0,10216.0,set_data,1024,1024
109,158902.0,12333.0,set_data,1024,1024
110,168933.0,14397.0,set_data,1024,1024
111,183549.0,19294.0,set_data,1024,1024
112,169501.0,15839.0,set_data,1024,1024
113,137111.0,11272.0,set_data,1024,1024
114,143364.0,12726.0,set_data,1024,1024
115,195936.0,12619.0,set_data,1024,1024
116,362989.0,12034.0,set_data,1024,1024
117,171650.0,12722.0,set_data,1024,1024
118,148009.0,11324.0,set_data,1024,1024
119,223686.0,14257.0,set_data,1024,1024
120,186615.0,11601.0,set_data,1024,1024
121,146166.0,11402.0,set_data,1024,1024
122,133495.0,10929.0,set_data,1024,1024
123,130929.0,12550.0,set_data,1024,1024
124,155998.0,13504.0,set_data,1024,1024
125,136010.0,11618.0,set_data,1024,1024
126,141294.0,15409.0,set_data,1024,1024
127,138298.0,11728.0,set_data,1024,1024
128,153273.0,18388.0,set_data,1024,1024
129,144480.0,17165.0,set_data,1024,1024
130,144369.0,11173.0,set_data,1024,1024
131,165779.0,10655.0,set_data,1024,1024
132,179078.0,13600.0,set_data,1024,1024
133,158096.0,12589.0,set_data,1024,1024
134,159316.0,12240.0,set_data,1024,1024
135,155590.0,10725.0,set_data,1024,1024
136,158135.0,10644.0,set_data,1024,1024
137,140590.0,13718.0,set_data,1024,1024
138,139164.0,12580.0,set_data,1024,1024
139,195309.0,11307.0,set_data,1024,1024
140,131107.0,11100.0,set_data,1024,1024
141,144454.0,13821.0,set_data,1024,1024
142,137993.0,9511.0,set_data,1024,1024
143,139908.0,10523.0,set_data,1024,1024
144,178548.0,47754.0,set_data,1024,1024
145,199651.0,16069.0,set_data,1024,1024
146,145381.0,13024.0,set_data,1024,1024
147,183569.0,29784.0,set_data,1024,1024
148,172357.0,11579.0,set_data,1024,1024
149,137770.0,10518.0,set_data,1024,1024
150,182484.0,15602.0,set_data,1024,1024
151,161028.0,12290.0,set_data,1024,1024
152,141320.0,12780.0,set_data,1024,1024
153,156778.0,12379.0,set_data,1024,1024
154,130118.0,10919.0,set_data,1024,1024
155,136907.0,16898.0,set_data,1024,1024
156,140592.0,10841.0,set_data,1024,1024
157,204162.0,37789.0,set_data,1024,1024
158,216976.0,13382.0,set_data,1024,1024
159,162788.0,10458.0,set_data,1024,1024
160,1116485.0,12068.0,set_data,1024,1024
161,147410.0,10241.0,set_data,1024,1024
162,179938.0,22224.0,set_data,1024,1024
163,156474.0,13585.0,set_data,1024,1024
164,135967.0,9285.0,set_data,1024,1024
165,176789.0,13300.0,set_data,1024,1024
166,157398.0,10567.0,set_data,1024,1024
167,198347.0,10433.0,set_data,1024,1024
168,146698.0,13098.0,set_data,1024,1024
169,170842.0,11701.0,set_data,1024,1024
170,127573.0,12718.0,set_data,1024,1024
171,178758.0,12410.0,set_data,1024,1024
172,145421.0,11494.0,set_data,1024,1024
173,153375.0,11516.0,set_data,1024,1024
174,170003.0,36752.0,set_data,1024,1024
175,145190.0,11341.0,set_data,1024,1024
176,153934.0,15150.0,set_data,1024,1024
177,131359.0,11376.0,set_data,1024,1024
178,136476.0,12393.0,set_data,1024,1024
179,129970.0,9190.0,set_data,1024,1024
180,151479.0,14532.0,set_data,1024,1024
181,125726.0,9283.0,set_data,1024,1024
182,135445.0,12855.0,set_data,1024,1024
183,161073.0,12123.0,set_data,1024,1024
184,136849.0,11377.0,set_data,1024,1024
185,130718.0,12736.0,set_data,1024,1024
186,124173.0,12329.0,set_data,1024,1024
187,149978.0,9199.0,set_data,1024,1024
188,168283.0,14266.0,set_data,1024,1024
189,136941.0,12984.0,set_data,1024,1024
190,154992.0,12156.0,set_data,1024,1024
191,174126.0,12947.0,set_data,1024,1024
192,153068.0,14277.0,set_data,1024,1024
193,149362.0,12653.0,set_data,1024,1024
194,139044.0,13016.0,set_data,1024,1024
195,147546.0,12880.0,set_data,1024,1024
196,134820.0,12712.0,set_data,1024,1024
197,154383.0,10117.0,set_data,1024,1024
198,188520.0,15249.0,set_data,1024,1024
199,146532.0,14273.0,set_data,1024,1024
200,0.0,,client_write_capacity,1024,1024
201,1644214927.576931,,EXPERIMENT_BEGIN,1024,1024
202,1644214981.909478,,EXPERIMENT_END,1024,1024
