,data,client_write_data,op,memory,size
0,2129151.0,8611.0,set_data,2048,4
1,114676.0,7358.0,set_data,2048,4
2,249903.0,6519.0,set_data,2048,4
3,347811.0,6248.0,set_data,2048,4
4,155249.0,6477.0,set_data,2048,4
5,278534.0,5743.0,set_data,2048,4
6,262679.0,9398.0,set_data,2048,4
7,521767.0,6483.0,set_data,2048,4
8,233878.0,6303.0,set_data,2048,4
9,467398.0,6190.0,set_data,2048,4
10,272898.0,5692.0,set_data,2048,4
11,272170.0,6495.0,set_data,2048,4
12,462082.0,5891.0,set_data,2048,4
13,241711.0,5791.0,set_data,2048,4
14,616505.0,7522.0,set_data,2048,4
15,696115.0,6527.0,set_data,2048,4
16,288743.0,6690.0,set_data,2048,4
17,690960.0,6654.0,set_data,2048,4
18,238909.0,6403.0,set_data,2048,4
19,464730.0,6888.0,set_data,2048,4
20,256085.0,6559.0,set_data,2048,4
21,247806.0,5874.0,set_data,2048,4
22,340678.0,6565.0,set_data,2048,4
23,187887.0,5960.0,set_data,2048,4
24,271289.0,6770.0,set_data,2048,4
25,212813.0,6785.0,set_data,2048,4
26,487337.0,6706.0,set_data,2048,4
27,257857.0,5865.0,set_data,2048,4
28,532189.0,6794.0,set_data,2048,4
29,592249.0,7278.0,set_data,2048,4
30,629966.0,6466.0,set_data,2048,4
31,487466.0,6230.0,set_data,2048,4
32,239451.0,6451.0,set_data,2048,4
33,559651.0,7037.0,set_data,2048,4
34,194982.0,6869.0,set_data,2048,4
35,500648.0,6024.0,set_data,2048,4
36,276187.0,6937.0,set_data,2048,4
37,224127.0,6998.0,set_data,2048,4
38,259496.0,6726.0,set_data,2048,4
39,241816.0,6729.0,set_data,2048,4
40,300596.0,9051.0,set_data,2048,4
41,470776.0,5843.0,set_data,2048,4
42,262615.0,5746.0,set_data,2048,4
43,473066.0,6497.0,set_data,2048,4
44,519710.0,5922.0,set_data,2048,4
45,307134.0,7787.0,set_data,2048,4
46,462008.0,6176.0,set_data,2048,4
47,231743.0,14867.0,set_data,2048,4
48,241094.0,6406.0,set_data,2048,4
49,230692.0,7430.0,set_data,2048,4
50,268212.0,6829.0,set_data,2048,4
